iter	Passed	Remaining
0	1	110
1	1	91
2	2	86
3	3	79
4	4	77
5	4	77
6	5	76
7	6	74
8	7	73
9	8	73
10	8	72
11	9	71
12	10	70
13	11	69
14	12	68
15	12	67
16	13	67
17	14	66
18	15	65
19	16	64
20	16	63
21	17	62
22	18	62
23	19	61
24	20	60
25	20	59
26	21	58
27	22	57
28	23	56
29	23	55
30	24	54
31	25	53
32	25	52
33	26	51
34	27	50
35	28	49
36	28	48
37	29	48
38	30	47
39	30	46
40	31	45
41	31	44
42	32	43
43	33	42
44	34	41
45	35	41
46	35	40
47	36	39
48	37	38
49	38	38
50	38	37
51	39	36
52	40	35
53	40	34
54	41	33
55	42	33
56	42	32
57	43	31
58	44	30
59	45	30
60	45	29
61	46	28
62	47	27
63	48	27
64	49	26
65	49	25
66	50	24
67	51	24
68	52	23
69	52	22
70	53	21
71	54	21
72	55	20
73	56	19
74	56	18
75	57	18
76	58	17
77	59	16
78	60	15
79	60	15
80	61	14
81	62	13
82	63	12
83	63	12
84	64	11
85	65	10
86	66	9
87	66	9
88	67	8
89	68	7
90	69	6
91	69	6
92	70	5
93	71	4
94	71	3
95	72	3
96	73	2
97	73	1
98	74	0
99	75	0
