iter	Passed	Remaining
0	152	152021
1	152	76290
2	153	50993
3	153	38320
4	154	30733
5	154	25671
6	155	22059
7	156	19356
8	156	17248
9	157	15566
10	157	14182
11	158	13041
12	158	12066
13	159	11235
14	160	10522
15	160	9896
16	161	9366
17	162	8870
18	163	8425
19	163	8025
20	164	7662
21	164	7333
22	165	7030
23	166	6753
24	166	6508
25	167	6272
26	168	6059
27	168	5857
28	169	5675
29	170	5502
30	170	5340
31	171	5185
32	172	5041
33	172	4905
34	173	4778
35	173	4658
36	174	4542
37	175	4434
38	175	4328
39	176	4230
40	176	4137
41	177	4047
42	178	3963
43	178	3885
44	179	3818
45	180	3744
46	181	3672
47	181	3603
48	182	3536
49	182	3472
50	183	3411
51	183	3352
52	184	3297
53	185	3244
54	185	3193
55	186	3144
56	187	3094
57	187	3047
58	188	3003
59	188	2960
60	189	2916
61	190	2876
62	190	2836
63	191	2799
64	192	2766
65	192	2730
66	193	2694
67	194	2660
68	194	2627
69	195	2594
70	195	2562
71	196	2531
72	196	2501
73	197	2471
74	198	2443
75	198	2415
76	199	2389
77	199	2363
78	200	2337
79	200	2311
80	201	2286
81	202	2261
82	202	2235
83	202	2212
84	203	2190
85	204	2168
86	204	2148
87	205	2128
88	205	2107
89	206	2087
90	207	2068
91	207	2050
92	208	2031
93	208	2012
94	209	1995
95	210	1977
96	210	1960
97	211	1943
98	211	1926
99	212	1910
100	212	1895
101	213	1879
102	214	1864
103	214	1849
104	215	1834
105	216	1823
106	216	1809
107	217	1797
108	218	1784
109	218	1771
110	219	1758
111	220	1745
112	220	1732
113	221	1720
114	221	1707
115	222	1696
116	223	1686
117	224	1674
118	224	1662
119	225	1650
120	225	1639
121	226	1627
122	226	1616
123	227	1605
124	227	1595
125	228	1584
126	229	1578
127	230	1568
128	230	1558
129	231	1547
130	231	1537
131	232	1527
132	232	1517
133	233	1508
134	233	1498
135	234	1489
136	234	1480
137	235	1471
138	236	1462
139	236	1453
140	237	1444
141	237	1434
142	238	1427
143	238	1419
144	239	1411
145	239	1403
146	240	1395
147	241	1388
